PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
P001,D001,G001,64.1,7,57.1,71.1,
P001,D001,G002,96.9,7.4,89.5,104.3,
P001,D001,G003,8.5,2.5,6,11,
P001,D001,G004,169.5,10.4,159.1,179.9,
P001,D002,A001,49.1,6.1,43,55.2,
P001,D002,A002,27.3,5.7,21.6,33,
P001,D002,A003,22.5,4.2,18.3,26.7,
P001,D002,A004,12.6,3,9.6,15.6,
P001,D002,A005,10.4,2.4,8,12.8,
P001,D002,A006,11.9,3.2,8.7,15.1,
P001,D002,A007,7.7,2.1,5.6,9.8,
P001,D002,A008,9.4,2.4,7,11.8,
P001,D002,A009,6.2,2.1,4.1,8.3,
P001,D002,A010,12.4,2.9,9.5,15.3,
P001,D002,A011,169.5,10.4,159.1,179.9,
P001,D003,E001,132.8,9.5,123.3,142.3,
P001,D003,E002,27.3,4.4,22.9,31.7,
P001,D003,E003,9.7,2.4,7.3,12.1,
P001,D003,E004,19.5,4,15.5,23.5,
P001,D003,E005,4,1.8,2.2,5.8,
P001,D003,E006,1.7,1.1,0.6,2.8,
P001,D003,E007,169.5,10.4,159.1,179.9,
P001,D004,Q001,21.4,3.5,17.9,24.9,
P001,D004,Q002,47.1,6.2,40.9,53.3,
P001,D004,Q003,16.3,3.4,12.9,19.7,
P001,D004,Q004,19.7,3.9,15.8,23.6,
P001,D004,Q005,26.7,4.2,22.5,30.9,
P001,D004,Q006,13.7,3.4,10.3,17.1,
P001,D004,Q007,12.2,2.9,9.3,15.1,
P001,D004,Q008,1.6,0.9,0.7,2.5,
P001,D004,Q009,4.3,2,2.3,6.3,
P001,D004,Q010,0.7,0.6,0.1,1.3,
P001,D004,Q011,5.5,2.2,3.3,7.7,
P001,D004,Q012,169.5,10.4,159.1,179.9,
P001,D005,L001,118.1,8.4,109.7,126.5,
P001,D005,L002,10.4,2.6,7.8,13,
P001,D005,L003,40.3,5.1,35.2,45.4,
P001,D005,L004,169.5,10.4,159.1,179.9,
P001,D006,B001,30.8,4.6,26.2,35.4,
P001,D006,B002,138.7,9.5,129.2,148.2,
P001,D006,B003,169.5,10.4,159.1,179.9,
P001,D007,R001,5.2,2.3,2.9,7.5,
P001,D007,R002,56.3,7,49.3,63.3,
P001,D007,R003,16.6,4.7,11.9,21.3,
P001,D007,R004,7.9,2.6,5.3,10.5,
P001,D007,R005,4.8,1.7,3.1,6.5,
P001,D007,R006,3.8,1.5,2.3,5.3,
P001,D007,R007,8,2.4,5.6,10.4,
P001,D007,R008,27.1,6.1,21,33.2,
P001,D007,R009,5.5,2.1,3.4,7.6,
P001,D007,R010,22.8,5.3,17.5,28.1,
P001,D007,R011,9.3,3.2,6.1,12.5,
P001,D007,R012,2.2,1.1,1.1,3.3,
P001,D007,R013,169.5,10.4,159.1,179.9,
P001,D008,U001,19.1,5,14.1,24.1,
P001,D008,U002,150.3,10.3,140,160.6,
P001,D008,U003,169.5,10.4,159.1,179.9,
P002,D001,G001,1831.1,6.7,1824.4,1837.8,
P002,D001,G002,1863.9,7.6,1856.3,1871.5,
P002,D001,G003,,,,,NA
P002,D001,G004,3695,10.4,3684.6,3705.4,
P002,D002,A001,398.3,6.1,392.2,404.4,
P002,D002,A002,344.5,5.7,338.8,350.2,
P002,D002,A003,352.5,4.2,348.3,356.7,
P002,D002,A004,322.1,3,319.1,325.1,
P002,D002,A005,297.3,2.4,294.9,299.7,
P002,D002,A006,312.4,3.2,309.2,315.6,
P002,D002,A007,317.5,2.1,315.4,319.6,
P002,D002,A008,312.5,2.4,310.1,314.9,
P002,D002,A009,284.5,2.1,282.4,286.6,
P002,D002,A010,753.5,2.9,750.6,756.4,
P002,D002,A011,3695,10.4,3684.6,3705.4,
P002,D003,E001,2546.7,37.7,2509,2584.4,
P002,D003,E002,514.4,6.1,508.3,520.5,
P002,D003,E003,248.5,19.8,228.7,268.3,
P002,D003,E004,634.3,37.7,596.6,672,
P002,D003,E005,54.3,9.4,44.9,63.7,
P002,D003,E006,55.9,6.6,49.3,62.5,
P002,D003,E007,3695,10.4,3684.6,3705.4,
P002,D004,Q001,702.7,23.4,679.3,726.1,
P002,D004,Q002,803.3,23.9,779.4,827.2,
P002,D004,Q003,384.3,19.2,365.1,403.5,
P002,D004,Q004,403.3,16.2,387.1,419.5,
P002,D004,Q005,556.2,22.3,533.9,578.5,
P002,D004,Q006,251.1,12.8,238.3,263.9,
P002,D004,Q007,162.9,11.8,151.1,174.7,
P002,D004,Q008,27.2,4.4,22.8,31.6,
P002,D004,Q009,137.4,9.7,127.7,147.1,
P002,D004,Q010,10.5,2.9,7.6,13.4,
P002,D004,Q011,163.1,14.2,148.9,177.3,
P002,D004,Q012,3695,10.4,3684.6,3705.4,
P002,D005,L001,2414.8,22.3,2392.5,2437.1,
P002,D005,L002,105.4,6.8,98.6,112.2,
P002,D005,L003,1042,18.7,1023.3,1060.7,
P002,D005,L004,3695,10.4,3684.6,3705.4,
P002,D006,B001,434.5,16.6,417.9,451.1,
P002,D006,B002,3260.5,18.5,3242,3279,
P002,D006,B003,3695,10.4,3684.6,3705.4,
P002,D007,R001,140.9,5.4,135.5,146.3,
P002,D007,R002,1241,13.8,1227.2,1254.8,
P002,D007,R003,352,7.3,344.7,359.3,
P002,D007,R004,246.5,4.9,241.6,251.4,
P002,D007,R005,167.1,4.7,162.4,171.8,
P002,D007,R006,89.9,3.6,86.3,93.5,
P002,D007,R007,179.5,4.9,174.6,184.4,
P002,D007,R008,402.5,8.9,393.6,411.4,
P002,D007,R009,147.3,4.7,142.6,152,
P002,D007,R010,472,13.3,458.7,485.3,
P002,D007,R011,180.4,6.3,174.1,186.7,
P002,D007,R012,75.8,2.8,73,78.6,
P002,D007,R013,3695,10.4,3684.6,3705.4,
P002,D008,U001,533.1,58.2,474.9,591.3,
P002,D008,U002,3161.9,59.8,3102.1,3221.7,
P002,D008,U003,3695,10.4,3684.6,3705.4,
P003,D001,G001,1895.2,2.9,1892.3,1898.1,
P003,D001,G002,1960.8,3.3,1957.5,1964.1,
P003,D001,G003,8.5,2.5,6,11,
P003,D001,G004,3864.5,0,3864.5,3864.5,
P003,D002,A001,447.3,0,447.3,447.3,
P003,D002,A002,371.8,0,371.8,371.8,
P003,D002,A003,375,0,375,375,
P003,D002,A004,334.6,0,334.6,334.6,
P003,D002,A005,307.8,0,307.8,307.8,
P003,D002,A006,324.3,0,324.3,324.3,
P003,D002,A007,325.2,0,325.2,325.2,
P003,D002,A008,321.9,0,321.9,321.9,
P003,D002,A009,290.7,0,290.7,290.7,
P003,D002,A010,766,0,766,766,
P003,D002,A011,3864.5,0,3864.5,3864.5,
P003,D003,E001,2679.6,39.9,2639.7,2719.5,
P003,D003,E002,541.6,4.6,537,546.2,
