PpCode,DmCode,VACode,Estimate,LSE,LowerCIB,UpperCIB,Flag
P001,D001,G001,5.5,1.9,3.6,7.4,
P001,D001,G002,,,,,NA
P001,D001,G003,,,,,NA
P001,D001,G004,5.5,1.9,3.6,7.4,
P001,D002,A001,1.4,1.2,0.2,2.6,
P001,D002,A002,0.9,0.9,0,1.8,
P001,D002,A003,0.6,0.4,0.2,1,
P001,D002,A004,1.1,0.7,0.4,1.8,
P001,D002,A005,1.1,1,0.1,2.1,
P001,D002,A006,0.6,0.6,0,1.2,
P001,D002,A007,5.5,1.9,3.6,7.4,
P001,D003,E001,4,1.7,2.3,5.7,
P001,D003,E002,0.9,0.9,0,1.8,
P001,D003,E003,,,,,S
P001,D003,E004,0.7,0.6,0.1,1.3,
P001,D003,E005,,,,,S
P001,D003,E006,,,,,S
P001,D003,E007,5.5,1.9,3.6,7.4,
P001,D004,Q001,1,0.7,0.3,1.7,
P001,D004,Q002,1.7,1.2,0.5,2.9,
P001,D004,Q003,,,,,S
P001,D004,Q004,0.6,0.7,-0.1,1.3,
P001,D004,Q005,,,,,S
P001,D004,Q006,,,,,S
P001,D004,Q007,,,,,S
P001,D004,Q008,,,,,S
P001,D004,Q009,,,,,S
P001,D004,Q010,,,,,S
P001,D004,Q011,,,,,S
P001,D004,Q012,5.5,1.9,3.6,7.4,
P001,D005,L001,3.8,1.6,2.2,5.4,
P001,D005,L002,,,,,S
P001,D005,L003,1.8,1.1,0.7,2.9,
P001,D005,L004,5.5,1.9,3.6,7.4,
P001,D006,B001,0.8,0.8,0,1.6,
P001,D006,B002,4.7,1.8,2.9,6.5,
P001,D006,B003,5.5,1.9,3.6,7.4,
P001,D007,U001,1.3,1.1,0.2,2.4,
P001,D007,U002,4.2,1.6,2.6,5.8,
P001,D007,U003,5.5,1.9,3.6,7.4,
P001,D008,S001,3.5,1.6,1.9,5.1,
P001,D008,S002,,,,,S
P001,D008,S003,,,,,S
P001,D008,S004,,,,,S
P001,D008,S005,5.5,1.9,3.6,7.4,
P002,D001,G001,,,,,NA
P002,D001,G002,4.9,1.8,3.1,6.7,
P002,D001,G003,,,,,NA
P002,D001,G004,4.9,1.8,3.1,6.7,
P002,D002,A001,0.5,0.5,0,1,
P002,D002,A002,0.6,0.6,0,1.2,
P002,D002,A003,0.7,0.7,0,1.4,
P002,D002,A004,0.9,0.7,0.2,1.6,
P002,D002,A005,1.3,1,0.3,2.3,
P002,D002,A006,0.9,0.7,0.2,1.6,
P002,D002,A007,4.9,1.8,3.1,6.7,
P002,D003,E001,2.8,1.3,1.5,4.1,
P002,D003,E002,0.5,0.4,0.1,0.9,
P002,D003,E003,,,,,S
P002,D003,E004,1.1,0.9,0.2,2,
P002,D003,E005,,,,,S
P002,D003,E006,,,,,S
P002,D003,E007,4.9,1.8,3.1,6.7,
P002,D004,Q001,0.8,0.6,0.2,1.4,
P002,D004,Q002,1.5,1,0.5,2.5,
P002,D004,Q003,0.7,0.6,0.1,1.3,
P002,D004,Q004,,,,,S
P002,D004,Q005,,,,,S
P002,D004,Q006,,,,,S
P002,D004,Q007,,,,,S
P002,D004,Q008,,,,,S
P002,D004,Q009,,,,,S
P002,D004,Q010,,,,,S
P002,D004,Q011,,,,,S
P002,D004,Q012,4.9,1.8,3.1,6.7,
P002,D005,L001,2.1,1.1,1,3.2,
P002,D005,L002,,,,,S
P002,D005,L003,2.1,1.1,1,3.2,
P002,D005,L004,4.9,1.8,3.1,6.7,
P002,D006,B001,0.7,0.5,0.2,1.2,
P002,D006,B002,4.1,1.5,2.6,5.6,
P002,D006,B003,4.9,1.8,3.1,6.7,
P002,D007,U001,0.7,0.7,0,1.4,
P002,D007,U002,4.2,1.7,2.5,5.9,
P002,D007,U003,4.9,1.8,3.1,6.7,
P002,D008,S001,3.8,1.6,2.2,5.4,
P002,D008,S002,,,,,S
P002,D008,S003,,,,,S
P002,D008,S004,,,,,S
P002,D008,S005,4.9,1.8,3.1,6.7,
P003,D001,G001,,,,,S
P003,D001,G002,,,,,S
P003,D001,G003,8.5,2.5,6,11,
P003,D001,G004,9,2.6,6.4,11.6,
P003,D002,A001,3.7,1.7,2,5.4,
P003,D002,A002,2.1,1.1,1,3.2,
P003,D002,A003,1,0.8,0.2,1.8,
P003,D002,A004,0.8,0.8,0,1.6,
P003,D002,A005,,,,,S
P003,D002,A006,,,,,S
P003,D002,A007,9,2.6,6.4,11.6,
P003,D003,E001,7.3,2.4,4.9,9.7,
P003,D003,E002,1.4,1,0.4,2.4,
P003,D003,E003,0.7,0.6,0.1,1.3,
P003,D003,E004,1.3,1,0.3,2.3,
P003,D003,E005,,,,,S
P003,D003,E006,,,,,S
P003,D003,E007,9,2.6,6.4,11.6,
P003,D004,Q001,1,0.8,0.2,1.8,
P003,D004,Q002,2.8,1.6,1.2,4.4,
P003,D004,Q003,1.1,1.5,-0.4,2.6,
P003,D004,Q004,1.1,0.8,0.3,1.9,
P003,D004,Q005,1.7,1,0.7,2.7,
P003,D004,Q006,0.4,0.4,0,0.8,
P003,D004,Q007,,,,,S
P003,D004,Q008,,,,,S
P003,D004,Q009,,,,,S
P003,D004,Q010,,,,,S
P003,D004,Q011,,,,,S
P003,D004,Q012,9,2.6,6.4,11.6,
P003,D005,L001,6.4,2.3,4.1,8.7,
P003,D005,L002,,,,,S
P003,D005,L003,1.9,1.1,0.8,3,
P003,D005,L004,9,2.6,6.4,11.6,
P003,D006,B001,2.8,1.3,1.5,4.1,
P003,D006,B002,6.3,2.4,3.9,8.7,
P003,D006,B003,9,2.6,6.4,11.6,
P003,D007,U001,,,,,S
P003,D007,U002,,,,,S
P003,D007,U003,9,2.6,6.4,11.6,
P003,D008,S001,,,,,S
P003,D008,S002,1,0.9,0.1,1.9,
P003,D008,S003,2,1,1,3,
P003,D008,S004,2.3,1.2,1.1,3.5,
P003,D008,S005,9,2.6,6.4,11.6,
P004,D001,G001,30.9,5.8,25.1,36.7,
P004,D001,G002,22.7,4.4,18.3,27.1,
P004,D001,G003,1,0.9,0.1,1.9,
P004,D001,G004,54.7,7.5,47.2,62.2,
P004,D002,A001,9.5,2.5,7,12,
P004,D002,A002,16.1,4.9,11.2,21,
P004,D002,A003,7.7,2.5,5.2,10.2,
P004,D002,A004,7.7,2.4,5.3,10.1,
P004,D002,A005,7,2.1,4.9,9.1,
P004,D002,A006,6.6,2.2,4.4,8.8,
P004,D002,A007,54.7,7.5,47.2,62.2,
P004,D003,E001,43.4,6.7,36.7,50.1,
P004,D003,E002,9.6,3.1,6.5,12.7,
P004,D003,E003,3,1.5,1.5,4.5,
P004,D003,E004,4.7,1.9,2.8,6.6,
P004,D003,E005,1.6,1,0.6,2.6,
P004,D003,E006,,,,,S
P004,D003,E007,54.7,7.5,47.2,62.2,
P004,D004,Q001,7.5,2.6,4.9,10.1,
P004,D004,Q002,11.6,3.2,8.4,14.8,
P004,D004,Q003,4.5,1.7,2.8,6.2,
P004,D004,Q004,6.1,2.2,3.9,8.3,
P004,D004,Q005,10.2,2.3,7.9,12.5,
P004,D004,Q006,5.5,2,3.5,7.5,
P004,D004,Q007,5.6,2.4,3.2,8,
P004,D004,Q008,,,,,S
P004,D004,Q009,1.3,0.9,0.4,2.2,
P004,D004,Q010,,,,,S
P004,D004,Q011,1.7,1,0.7,2.7,
P004,D004,Q012,54.7,7.5,47.2,62.2,
P004,D005,L001,39.8,6.5,33.3,46.3,
P004,D005,L002,2.5,1.2,1.3,3.7,
P004,D005,L003,12.4,2.7,9.7,15.1,
P004,D005,L004,54.7,7.5,47.2,62.2,
P004,D006,B001,6.1,1.8,4.3,7.9,
P004,D006,B002,48.6,7.2,41.4,55.8,
P004,D006,B003,54.7,7.5,47.2,62.2,
P004,D007,U001,6.7,3.5,3.2,10.2,
P004,D007,U002,48,7,41,55,
P004,D007,U003,54.7,7.5,47.2,62.2,
P005,D001,G001,21,3.8,17.2,24.8,
P005,D001,G002,56.3,5.9,50.4,62.2,
P005,D001,G003,2,1,1,3,
P005,D001,G004,79.3,7.8,71.5,87.1,
P005,D002,A001,32.4,5.3,27.1,37.7,
P005,D002,A002,24.2,4.4,19.8,28.6,
P005,D002,A003,9.9,2.4,7.5,12.3,
P005,D002,A004,6.7,1.9,4.8,8.6,
P005,D002,A005,3.4,1.3,2.1,4.7,
P005,D002,A006,2.7,1.5,1.2,4.2,
P005,D002,A007,79.3,7.8,71.5,87.1,
P005,D003,E001,66.6,7.2,59.4,73.8,
P005,D003,E002,13.4,2.9,10.5,16.3,
P005,D003,E003,3.8,1.5,2.3,5.3,
P005,D003,E004,6.2,2.2,4,8.4,
P005,D003,E005,1.7,1.1,0.6,2.8,
P005,D003,E006,0.6,0.6,0,1.2,
P005,D003,E007,79.3,7.8,71.5,87.1,
P005,D004,Q001,7.7,2.3,5.4,10,
P005,D004,Q002,27.8,4.8,23,32.6,
P005,D004,Q003,8.1,2.1,6,10.2,
P005,D004,Q004,8.8,2.7,6.1,11.5,
P005,D004,Q005,11.4,2.6,8.8,14,
P005,D004,Q006,6.2,2.1,4.1,8.3,
P005,D004,Q007,4.6,1.8,2.8,6.4,
P005,D004,Q008,0.8,0.6,0.2,1.4,
P005,D004,Q009,1.2,0.9,0.3,2.1,
P005,D004,Q010,,,,,S
P005,D004,Q011,2.2,1.6,0.6,3.8,
P005,D004,Q012,79.3,7.8,71.5,87.1,
P005,D005,L001,55.9,6.2,49.7,62.1,
P005,D005,L002,5.6,1.9,3.7,7.5,
P005,D005,L003,17.5,3.5,14,21,
P005,D005,L004,79.3,7.8,71.5,87.1,
P005,D006,B001,17.9,3.7,14.2,21.6,
P005,D006,B002,61.4,6.9,54.5,68.3,
P005,D006,B003,79.3,7.8,71.5,87.1,
