PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
P001,D001,G001,100,0,100,100,
P001,D001,G002,,,,,NA
P001,D001,G003,,,,,NA
P001,D001,G004,100,,,,NA
P001,D002,A001,24.5,19.4,5.1,43.9,
P001,D002,A002,15.4,15.7,-0.3,31.1,
P001,D002,A003,10.3,8.3,2,18.6,
P001,D002,A004,19.3,12.9,6.4,32.2,
P001,D002,A005,20,16.5,3.5,36.5,
P001,D002,A006,10.5,10.4,0.1,20.9,
P001,D002,A007,100,,,,NA
P001,D003,E001,72.4,17.8,54.6,90.2,
P001,D003,E002,16.5,15.3,1.2,31.8,
P001,D003,E003,,,,,S
P001,D003,E004,13.2,11.6,1.6,24.8,
P001,D003,E005,,,,,S
P001,D003,E006,,,,,S
P001,D003,E007,100,,,,NA
P001,D004,Q001,18.9,13,5.9,31.9,
P001,D004,Q002,29.9,18,11.9,47.9,
P001,D004,Q003,,,,,S
P001,D004,Q004,10.8,12.8,-2,23.6,
P001,D004,Q005,,,,,S
P001,D004,Q006,,,,,S
P001,D004,Q007,,,,,S
P001,D004,Q008,,,,,S
P001,D004,Q009,,,,,S
P001,D004,Q010,,,,,S
P001,D004,Q011,,,,,S
P001,D004,Q012,100,,,,NA
P001,D005,L001,68.1,18,50.1,86.1,
P001,D005,L002,,,,,S
P001,D005,L003,31.9,18,13.9,49.9,
P001,D005,L004,100,,,,NA
P001,D006,B001,14.3,13.6,0.7,27.9,
P001,D006,B002,85.7,13.6,72.1,99.3,
P001,D006,B003,100,,,,NA
P001,D007,U001,23.9,18.2,5.7,42.1,
P001,D007,U002,76.1,18.2,57.9,94.3,
P001,D007,U003,100,,,,NA
P001,D008,S001,63.9,19.6,44.3,83.5,
P001,D008,S002,,,,,S
P001,D008,S003,,,,,S
P001,D008,S004,,,,,S
P001,D008,S005,100,,,,NA
P002,D001,G001,,,,,NA
P002,D001,G002,100,0,100,100,
P002,D001,G003,,,,,NA
P002,D001,G004,100,,,,NA
P002,D002,A001,11.1,11.1,0,22.2,
P002,D002,A002,12.1,11.4,0.7,23.5,
P002,D002,A003,14.2,14.1,0.1,28.3,
P002,D002,A004,18.7,14.4,4.3,33.1,
P002,D002,A005,25.8,18.6,7.2,44.4,
P002,D002,A006,18.1,12.6,5.5,30.7,
P002,D002,A007,100,,,,NA
P002,D003,E001,58.1,17.4,40.7,75.5,
P002,D003,E002,9.9,8.3,1.6,18.2,
P002,D003,E003,,,,,S
P002,D003,E004,22.5,16.3,6.2,38.8,
P002,D003,E005,,,,,S
P002,D003,E006,,,,,S
