AgCode,PpCode,DmCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
A001,P001,D001,E001,82.5,4.6,77.9,87.1,
A001,P001,D001,E002,17.6,4.6,13,22.2,
A001,P001,D001,E003,6.9,3,3.9,9.9,
A001,P001,D001,E004,9.8,4.7,5.1,14.5,
A001,P001,D001,E005,,,,,S
A001,P001,D001,E006,,,,,S
A001,P001,D001,E007,100,,,,NA
A001,P001,D002,Q001,8.4,2.6,5.8,11,
A001,P001,D002,Q002,54,6.2,47.8,60.2,
A001,P001,D002,Q003,9.1,3.3,5.8,12.4,
A001,P001,D002,Q004,7.5,4.7,2.8,12.2,
A001,P001,D002,Q005,12.1,3.4,8.7,15.5,
A001,P001,D002,Q006,4.1,2.7,1.4,6.8,
A001,P001,D002,Q007,2.3,2,0.3,4.3,
A001,P001,D002,Q008,,,,,S
A001,P001,D002,Q009,,,,,S
A001,P001,D002,Q010,,,,,S
A001,P001,D002,Q011,1.2,1.3,-0.1,2.5,
A001,P001,D002,Q012,100,,,,NA
A001,P001,D003,L001,65.7,6.1,59.6,71.8,
A001,P001,D003,L002,8.6,3.1,5.5,11.7,
A001,P001,D003,L003,24.8,5.7,19.1,30.5,
A001,P001,D003,L004,100,,,,NA
A001,P001,D004,T001,32.3,5.8,26.5,38.1,
A001,P001,D004,T002,62.1,5.5,56.6,67.6,
A001,P001,D004,T003,5.5,2.6,2.9,8.1,
A001,P001,D004,T004,100,,,,NA
A001,P001,D005,B001,27.3,5.8,21.5,33.1,
A001,P001,D005,B002,72.7,5.8,66.9,78.5,
A001,P001,D005,B003,100,,,,NA
A001,P001,D006,R001,1.6,1.4,0.2,3,
A001,P001,D006,R002,30.2,6.1,24.1,36.3,
A001,P001,D006,R003,7,3.2,3.8,10.2,
A001,P001,D006,R004,5.2,4.1,1.1,9.3,
A001,P001,D006,R005,2.3,1.4,0.9,3.7,
A001,P001,D006,R006,1.9,1.4,0.5,3.3,
A001,P001,D006,R007,4.7,3.1,1.6,7.8,
A001,P001,D006,R008,16.2,6.1,10.1,22.3,
