RgCode,PpCode,VaCode,Estimate,LSE,LowerCIB,UpperCIB,Flag
R001,P001,L001,3.6,1.6,2,5.2,
R001,P001,L002,96.4,1.6,94.8,98,
R001,P001,L003,100,,,,NA
R001,P002,T001,0.8,0.7,0.1,1.5,
R001,P002,T002,99.2,0.7,98.5,99.9,
R001,P002,T003,100,,,,NA
R001,P003,S001,2.9,1.4,1.5,4.3,
R001,P003,S002,87.4,2.7,84.7,90.1,
R001,P003,S003,100,,,,NA
R002,P001,L001,4.3,0.5,3.8,4.8,
R002,P001,L002,95.7,0.5,95.2,96.2,
R002,P001,L003,100,,,,NA
R002,P002,T001,0.5,0.2,0.3,0.7,
R002,P002,T002,99.5,0.2,99.3,99.7,
R002,P002,T003,100,,,,NA
R002,P003,S001,3.9,0.5,3.4,4.4,
R002,P003,S002,82.5,1.6,80.9,84.1,
R002,P003,S003,100,,,,NA
R003,P001,L001,4.5,1.3,3.2,5.8,
R003,P001,L002,95.5,1.3,94.2,96.8,
R003,P001,L003,100,,,,NA
R003,P002,T001,0.3,0.2,0.1,0.5,
R003,P002,T002,99.7,0.2,99.5,99.9,
R003,P002,T003,100,,,,NA
R003,P003,S001,4.3,1.3,3,5.6,
R003,P003,S002,85.4,2,83.4,87.4,
R003,P003,S003,100,,,,NA
R004,P001,L001,3.1,1,2.1,4.1,
R004,P001,L002,96.9,1,95.9,97.9,
R004,P001,L003,100,,,,NA
R004,P002,T001,0.3,0.2,0.1,0.5,
R004,P002,T002,99.7,0.2,99.5,99.9,
R004,P002,T003,100,,,,NA
R004,P003,S001,2.9,1,1.9,3.9,
R004,P003,S002,87.9,2.4,85.5,90.3,
R004,P003,S003,100,,,,NA
R005,P001,L001,2.8,1,1.8,3.8,
R005,P001,L002,97.2,1,96.2,98.2,
R005,P001,L003,100,,,,NA
R005,P002,T001,,,,,NA
R005,P002,T002,99.8,0.3,99.5,100.1,
R005,P002,T003,100,,,,NA
R005,P003,S001,2.6,0.9,1.7,3.5,
R005,P003,S002,86.5,2.7,83.8,89.2,
R005,P003,S003,100,,,,NA
R006,P001,L001,4.1,1.6,2.5,5.7,
R006,P001,L002,95.9,1.6,94.3,97.5,
R006,P001,L003,100,,,,NA
R006,P002,T001,0.4,0.3,0.1,0.7,
R006,P002,T002,99.6,0.3,99.3,99.9,
R006,P002,T003,100,,,,NA
R006,P003,S001,3.8,1.6,2.2,5.4,
R006,P003,S002,86,3.4,82.6,89.4,
R006,P003,S003,100,,,,NA
R007,P001,L001,4.3,1.2,3.1,5.5,
R007,P001,L002,95.7,1.2,94.5,96.9,
R007,P001,L003,100,,,,NA
R007,P002,T001,0.5,0.3,0.2,0.8,
R007,P002,T002,99.5,0.3,99.2,99.8,
R007,P002,T003,100,,,,NA
R007,P003,S001,3.9,1.2,2.7,5.1,
R007,P003,S002,86.6,2.2,84.4,88.8,
R007,P003,S003,100,,,,NA
R008,P001,L001,6.3,1.4,4.9,7.7,
R008,P001,L002,93.7,1.4,92.3,95.1,
R008,P001,L003,100,,,,NA
R008,P002,T001,0.8,0.4,0.4,1.2,
R008,P002,T002,99.2,0.4,98.8,99.6,
R008,P002,T003,100,,,,NA
R008,P003,S001,6.1,1.4,4.7,7.5,
R008,P003,S002,84.7,1.8,82.9,86.5,
R008,P003,S003,100,,,,NA
R009,P001,L001,3.6,1.3,2.3,4.9,
R009,P001,L002,96.4,1.3,95.1,97.7,
R009,P001,L003,100,,,,NA
R009,P002,T001,0.7,0.6,0.1,1.3,
R009,P002,T002,99.3,0.6,98.7,99.9,
R009,P002,T003,100,,,,NA
R009,P003,S001,3.1,1.3,1.8,4.4,
R009,P003,S002,90.5,2.5,88,93,
R009,P003,S003,100,,,,NA
R010,P001,L001,4.6,1,3.6,5.6,
R010,P001,L002,95.4,1,94.4,96.4,
R010,P001,L003,100,,,,NA
R010,P002,T001,0.6,0.3,0.3,0.9,
R010,P002,T002,99.4,0.3,99.1,99.7,
R010,P002,T003,100,,,,NA
R010,P003,S001,4.2,1.1,3.1,5.3,
R010,P003,S002,87.6,1.3,86.3,88.9,
R010,P003,S003,100,,,,NA
R011,P001,L001,4.9,1.6,3.3,6.5,
R011,P001,L002,95.1,1.6,93.5,96.7,
R011,P001,L003,100,,,,NA
R011,P002,T001,,,,,NA
R011,P002,T002,99.8,0.2,99.6,100,
R011,P002,T003,100,,,,NA
R011,P003,S001,4.8,1.6,3.2,6.4,
R011,P003,S002,85.7,2.2,83.5,87.9,
R011,P003,S003,100,,,,NA
R012,P001,L001,2.8,1.4,1.4,4.2,
R012,P001,L002,97.2,1.4,95.8,98.6,
R012,P001,L003,100,,,,NA
R012,P002,T001,,,,,NA
R012,P002,T002,99.7,0.3,99.4,100,
R012,P002,T003,100,,,,NA
R012,P003,S001,2.6,1.4,1.2,4,
R012,P003,S002,90.9,2.5,88.4,93.4,
R012,P003,S003,100,,,,NA
R013,P001,L001,4.4,0.3,4.1,4.7,
R013,P001,L002,95.6,0.3,95.3,95.9,
R013,P001,L003,100,,,,NA
R013,P002,T001,0.5,0.1,0.4,0.6,
R013,P002,T002,99.5,0.1,99.4,99.6,
R013,P002,T003,100,,,,NA
R013,P003,S001,4.1,0.3,3.8,4.4,
R013,P003,S002,85.3,0.7,84.6,86,
R013,P003,S003,100,,,,NA
